UUID,category,votes,id
438d57621c17f0d99b8affedbd16c63acad229e70bd7729a8c9412579ca802187,intro,0,236
b6dc685d7f6d80df45f6bb30bc387a8cade8bc5746016dedf15613160d4ed3f37,selfpromo,1,238
b6dc685d7f6d80df45f6bb30bc387a8cade8bc5746016dedf15613160d4ed3f37,sponsor,1,239
23fc23a35fd3ed20284909d050aced670628c1c524e907be73557b343404947b9,selfpromo,1,240
23fc23a35fd3ed20284909d050aced670628c1c524e907be73557b343404947b9,sponsor,1,241
5a9576fce1836ce43d672baa3c86ca4f003fdc66a3a42c0e03b4ec9e6a09101f7,selfpromo,1,242
5a9576fce1836ce43d672baa3c86ca4f003fdc66a3a42c0e03b4ec9e6a09101f7,sponsor,1,243
12aca27883ee6ddf7af9d1de7a708d413dce3c579b67ae1eb9e15e6a2b59beaa7,selfpromo,1,244
12aca27883ee6ddf7af9d1de7a708d413dce3c579b67ae1eb9e15e6a2b59beaa7,sponsor,1,245
0264461356ffdf2b181de4398dbd8083526087fe9a7e922fd7871d7e69eda5537,sponsor,1,246
77002aeedd395a3b658a75c7e667d5ac7a125c7e2270ca46db6c446a686564887,intro,1,247
77002aeedd395a3b658a75c7e667d5ac7a125c7e2270ca46db6c446a686564887,sponsor,1,248
18993557599874decba0d20d87c7770dc0cf9d9e1cc78bdccc970dac262fae7a7,sponsor,1,250
18993557599874decba0d20d87c7770dc0cf9d9e1cc78bdccc970dac262fae7a7,selfpromo,2,249
1079c63daf9056ddfd1dc23fe3b244cdd66ac5beb9885ce130745154fec496f77,filler,1,252
2db28d9bbfbf2e73cc9204996fab6332409576832a217c4696cb99d5360c762f7,sponsor,1,254
2db28d9bbfbf2e73cc9204996fab6332409576832a217c4696cb99d5360c762f7,music_offtopic,1,255
2db28d9bbfbf2e73cc9204996fab6332409576832a217c4696cb99d5360c762f7,interaction,0,253
4594bc7691f6e5f6458e12ebb4cc7c8ba0a3ac3fba9e559f248214e2090a741e7,preview,1,256
4594bc7691f6e5f6458e12ebb4cc7c8ba0a3ac3fba9e559f248214e2090a741e7,interaction,1,257
42b12497bb84f0956d2945d179f6b698e0a0a6ec76affbb6406f1e8888906d827,selfpromo,1,258
42b12497bb84f0956d2945d179f6b698e0a0a6ec76affbb6406f1e8888906d827,sponsor,1,259
5a9576fce1836ce43d672baa3c86ca4f003fdc66a3a42c0e03b4ec9e6a09101f7,preview,1,260
813583e4a0291973bc6fef9e8047444af9fb03623a58cbd30920c4924f19e6eb7,sponsor,2,262
813583e4a0291973bc6fef9e8047444af9fb03623a58cbd30920c4924f19e6eb7,selfpromo,0,261
92bad937671991d5c1cedd992ce1f88d4b530900e85ccda35dbe6c47585950517,intro,1,263
d9635e23366c1f75fbbe701b53cc49bb4eccd4be92b06beb72ded7f08399aebc7,selfpromo,1,264
d9635e23366c1f75fbbe701b53cc49bb4eccd4be92b06beb72ded7f08399aebc7,sponsor,1,265
754f9340b2974cddc4ec34ae09f45f616661bb4cb5eb06b0c65360afa59031f17,sponsor,1,266
a736e7156287907072e813d37f912c433a039bb364b42469124afa855239c03c7,selfpromo,1,267
a736e7156287907072e813d37f912c433a039bb364b42469124afa855239c03c7,sponsor,1,268
f9cfa552f18eb304ae0e6dfc91b521f15373eaa7e991cd0297df7d8f647d70fd7,sponsor,1,269
f9cfa552f18eb304ae0e6dfc91b521f15373eaa7e991cd0297df7d8f647d70fd7,selfpromo,1,270
